time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1.2000000000000006,-0.14933742755551752,0.14724153589328234,1.5207239592704787,0.10889415945236802,0.09385893759825326,0.0,-0.4689120589500565,0.4928412432968591,2.243460036292926,0.15388285343886737,0.16207524889171943,0.0,471.98436068956477,474.40614115032247,473.60857705998666,472.70652136300515
1.2600000000000007,-0.17940733879359036,0.17903297427015336,1.6576945219049657,0.11822544377665878,0.10337891683065692,0.0,-0.5343406357800942,0.5677376257180118,2.3216796388582743,0.1571780898910776,0.155233923216148,0.0,445.5634614862153,444.58743685895735,444.7873187173168,444.66539962984865
1.3200000000000007,-0.2141826186902327,0.21617280262645236,1.8048573318166479,0.12894974044183094,0.11259502378150454,0.0,-0.625891200282622,0.6713933810638318,2.582342119092357,0.2005075221934886,0.15196801240670685,0.0,502.003678956718,501.36931041854166,499.9591902694438,502.7182970409281
1.3800000000000008,-0.2536979593165119,0.2586807843217828,1.9590446668334345,0.14019674096155388,0.12187268440634291,0.0,-0.6920690643016071,0.7464814911927818,2.5570195093471435,0.17429057917089263,0.15730889725416738,0.0,414.3946381033251,414.46764969355286,415.60503459589887,412.7579407170444
1.4400000000000008,-0.2974228453937868,0.3059668077714851,2.112302172155161,0.15068381721705482,0.13080725111613578,0.0,-0.766217084703153,0.8305877900267222,2.5512456289924765,0.17528383061010808,0.14044212497884842,0.0,422.0344719161986,420.14786158037276,422.3203620644327,421.9522096516643
1.5000000000000009,-0.34607788945625007,0.3588511132344624,2.267590467950088,0.16153619150049714,0.1380344914194751,0.0,-0.8563260385225476,0.9331820629111425,2.6243404735438465,0.18651466721947252,0.10029444478491639,0.0,450.2684442904545,446.61108695588615,448.74669266608396,449.2097325503561
1.560000000000001,-0.4000917724012585,0.41788246205824015,2.4258737379197783,0.1729092860092596,0.14507896326068526,0.0,-0.944730899323588,1.0354900262698186,2.651252466769174,0.19261701183610358,0.13467369838560642,0.0,433.4071851093972,436.0424191732571,435.2637741038528,435.2923681119885
1.620000000000001,-0.45917804847046684,0.48281830968943634,2.5832325907431857,0.18496222906360327,0.15358831960088182,0.0,-1.0255029266815012,1.1299510520823672,2.593842001288199,0.20921098292419116,0.1490294985393543,0.0,405.7955871399008,406.7338324929525,407.06849624312446,408.0628576136083
1.680000000000001,-0.5235159509262586,0.5539228406508959,2.738735635960156,0.1991882907646696,0.16305012424862397,0.0,-1.1198972657867998,1.241303785050786,2.589059520604947,0.2652106716233837,0.16643830072363855,0.0,425.2095697407814,426.31671951142357,424.2300338828983,428.52332232231646
1.740000000000001,-0.5940616866004123,0.6324002941885857,2.89605038856781,0.21396448993083084,0.17312655010222233,0.0,-1.232547919706047,1.3759151071520759,2.6537821733910367,0.22718893898835285,0.1694618555613003,0.0,450.76432193433834,450.5709845012684,452.8727613895711,449.09850564413034
